id,flight_iata,airline_name,dep_iata,arr_iata,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,flight_status,ingestion_time
45,LH5267,Lufthansa,BLR,BOM,2026-05-29 20:30:00,,2026-05-29 22:40:00,,scheduled,2026-05-29 13:46:47.316019
46,VJ1802,VietJet Air,BLR,SGN,2026-05-29 23:35:00,,2026-05-30 06:00:00,,scheduled,2026-05-29 13:46:47.316019
47,CX32,Cathay Pacific,BLR,HKG,2026-05-29 23:35:00,,2026-05-30 07:25:00,,scheduled,2026-05-29 13:46:47.316019
48,6E6189,IndiGo,BLR,BOM,2026-05-29 23:30:00,,2026-05-30 01:15:00,,scheduled,2026-05-29 13:46:47.316019
49,6E2313,IndiGo,BLR,DEL,2026-05-29 23:30:00,,2026-05-30 02:20:00,,scheduled,2026-05-29 13:46:47.316019
50,AK52,AirAsia,BLR,KUL,2026-05-29 23:25:00,,2026-05-30 06:10:00,,scheduled,2026-05-29 13:46:47.316019
51,AK138,AirAsia,BLR,DMK,2026-05-29 23:20:00,,2026-05-30 04:40:00,,scheduled,2026-05-29 13:46:47.316019
52,IX5306,Air India Express,BLR,TRZ,2026-05-29 23:05:00,,2026-05-30 00:15:00,,scheduled,2026-05-29 13:46:47.316019
53,6E116,IndiGo,BLR,PNQ,2026-05-29 23:05:00,,2026-05-30 00:45:00,,scheduled,2026-05-29 13:46:47.316019
54,SQ511,Singapore Airlines,BLR,SIN,2026-05-29 23:05:00,,2026-05-30 06:10:00,,scheduled,2026-05-29 13:46:47.316019
55,XC152,Corendon Airlines,BLR,DEL,2026-05-29 22:55:00,,2026-05-30 01:45:00,,scheduled,2026-05-29 13:46:47.316019
56,QP1134,Akasa Air,BLR,BOM,2026-05-29 22:55:00,,2026-05-30 00:45:00,,scheduled,2026-05-29 13:46:47.316019
57,6E838,IndiGo,BLR,JAI,2026-05-29 22:40:00,,2026-05-30 01:10:00,,scheduled,2026-05-29 13:46:47.316019
58,AI9708,Air India,BLR,JAI,2026-05-29 19:25:00,,2026-05-29 22:00:00,,scheduled,2026-05-29 13:46:47.316019
59,VS8469,Virgin Atlantic,BLR,IXE,2026-05-29 21:10:00,,2026-05-29 22:10:00,,scheduled,2026-05-29 13:46:47.316019
60,VS8372,Virgin Atlantic,BLR,DEL,2026-05-29 19:30:00,,2026-05-29 22:15:00,,scheduled,2026-05-29 13:46:47.316019
61,QF5035,Qantas,BLR,DEL,2026-05-29 19:30:00,,2026-05-29 22:15:00,,scheduled,2026-05-29 13:46:47.316019
62,JL5289,Japan Airlines,BLR,DEL,2026-05-29 19:30:00,,2026-05-29 22:15:00,,scheduled,2026-05-29 13:46:47.316019
63,SG269,SpiceJet,BLR,BOM,2026-05-29 22:35:00,,2026-05-30 00:35:00,,scheduled,2026-05-29 13:46:47.316019
64,IX921,Air India Express,BLR,DXB,2026-05-29 22:30:00,,2026-05-30 01:10:00,,scheduled,2026-05-29 13:46:47.316019
65,AI2840,Air India,BLR,BOM,2026-05-29 22:30:00,,2026-05-30 00:35:00,,scheduled,2026-05-29 13:46:47.316019
66,AI2488,Air India,BLR,DEL,2026-05-29 22:30:00,,2026-05-30 01:25:00,,scheduled,2026-05-29 13:46:47.316019
67,6E684,IndiGo,BLR,HYD,2026-05-29 22:30:00,,2026-05-29 23:45:00,,scheduled,2026-05-29 13:46:47.316019
68,6E5094,IndiGo,BLR,BOM,2026-05-29 22:20:00,,2026-05-30 00:05:00,,scheduled,2026-05-29 13:46:47.316019
69,6E952,IndiGo,BLR,CCU,2026-05-29 22:20:00,,2026-05-30 01:00:00,,scheduled,2026-05-29 13:46:47.316019
70,GF281,Gulf Air,BLR,BAH,2026-05-29 22:20:00,,2026-05-30 00:30:00,,scheduled,2026-05-29 13:46:47.316019
71,EY239,Etihad Airways,BLR,AUH,2026-05-29 22:15:00,,2026-05-30 00:35:00,,scheduled,2026-05-29 13:46:47.316019
72,IX2787,Air India Express,BLR,MAA,2026-05-29 22:10:00,,2026-05-29 23:20:00,,scheduled,2026-05-29 13:46:47.316019
73,6E6406,IndiGo,BLR,DEL,2026-05-29 22:00:00,,2026-05-30 00:50:00,,scheduled,2026-05-29 13:46:47.316019
74,AI2814,Air India,BLR,DEL,2026-05-29 22:00:00,,2026-05-30 00:55:00,,scheduled,2026-05-29 13:46:47.316019
75,9I519,Alliance Air,BLR,HYD,2026-05-29 21:50:00,,2026-05-29 23:35:00,,scheduled,2026-05-29 13:46:47.316019
76,6E6562,IndiGo,BLR,MAA,2026-05-29 21:50:00,,2026-05-29 22:55:00,,scheduled,2026-05-29 13:46:47.316019
77,QF5124,Qantas,BLR,MAA,2026-05-29 21:50:00,,2026-05-29 22:55:00,,scheduled,2026-05-29 13:46:47.316019
78,JL9713,Japan Airlines,BLR,MAA,2026-05-29 21:50:00,,2026-05-29 22:55:00,,scheduled,2026-05-29 13:46:47.316019
79,IX2680,Air India Express,BLR,PNQ,2026-05-29 21:50:00,,2026-05-29 23:20:00,,scheduled,2026-05-29 13:46:47.316019
80,AI9810,Air India,BLR,PNQ,2026-05-29 21:50:00,,2026-05-29 23:20:00,,scheduled,2026-05-29 13:46:47.316019
81,6E977,IndiGo,BLR,GOI,2026-05-29 21:45:00,,2026-05-29 23:00:00,,scheduled,2026-05-29 13:46:47.316019
82,VS8408,Virgin Atlantic,BLR,GOI,2026-05-29 21:45:00,,2026-05-29 23:00:00,,scheduled,2026-05-29 13:46:47.316019
83,QF5623,Qantas,BLR,GOI,2026-05-29 21:45:00,,2026-05-29 23:00:00,,scheduled,2026-05-29 13:46:47.316019
84,JL9593,Japan Airlines,BLR,GOI,2026-05-29 21:45:00,,2026-05-29 23:00:00,,scheduled,2026-05-29 13:46:47.316019
85,6E528,IndiGo,BLR,PNQ,2026-05-29 21:40:00,,2026-05-29 23:10:00,,scheduled,2026-05-29 13:46:47.316019
86,VS8453,Virgin Atlantic,BLR,PNQ,2026-05-29 21:40:00,,2026-05-29 23:10:00,,scheduled,2026-05-29 13:46:47.316019
87,QF5253,Qantas,BLR,PNQ,2026-05-29 21:40:00,,2026-05-29 23:10:00,,scheduled,2026-05-29 13:46:47.316019
88,JL9083,Japan Airlines,BLR,PNQ,2026-05-29 21:40:00,,2026-05-29 23:10:00,,scheduled,2026-05-29 13:46:47.316019
89,6E486,IndiGo,BLR,NAG,2026-05-29 21:40:00,,2026-05-29 23:20:00,,scheduled,2026-05-29 13:46:47.316019
90,VS8604,Virgin Atlantic,BLR,NAG,2026-05-29 21:40:00,,2026-05-29 23:20:00,,scheduled,2026-05-29 13:46:47.316019
91,QF8914,Qantas,BLR,NAG,2026-05-29 21:40:00,,2026-05-29 23:20:00,,scheduled,2026-05-29 13:46:47.316019
92,VS8488,Virgin Atlantic,BLR,TRV,2026-05-29 21:35:00,,2026-05-29 22:55:00,,scheduled,2026-05-29 13:46:47.316019
93,QF8944,Qantas,BLR,TRV,2026-05-29 21:35:00,,2026-05-29 22:55:00,,scheduled,2026-05-29 13:46:47.316019
94,JL9610,Japan Airlines,BLR,TRV,2026-05-29 21:35:00,,2026-05-29 22:55:00,,scheduled,2026-05-29 13:46:47.316019
95,MK8013,Air Mauritius,BLR,BOM,2026-05-29 21:30:00,,2026-05-29 23:35:00,,scheduled,2026-05-29 13:46:47.316019
96,LH5263,Lufthansa,BLR,BOM,2026-05-29 21:30:00,,2026-05-29 23:35:00,,scheduled,2026-05-29 13:46:47.316019
97,AI6228,Air India,BLR,CMB,2026-05-29 21:20:00,,2026-05-29 22:45:00,,scheduled,2026-05-29 13:46:47.316019
98,VS8232,Virgin Atlantic,BLR,HYD,2026-05-29 21:15:00,,2026-05-29 22:30:00,,scheduled,2026-05-29 13:46:47.316019
99,QF5031,Qantas,BLR,HYD,2026-05-29 21:15:00,,2026-05-29 22:30:00,,scheduled,2026-05-29 13:46:47.316019
100,JL5297,Japan Airlines,BLR,HYD,2026-05-29 21:15:00,,2026-05-29 22:30:00,,scheduled,2026-05-29 13:46:47.316019
101,QF5982,Qantas,BLR,SIN,2026-05-29 21:15:00,,2026-05-30 04:40:00,,scheduled,2026-05-29 13:46:47.316019
102,AI9667,Air India,BLR,IXE,2026-05-29 21:15:00,,2026-05-29 22:20:00,,scheduled,2026-05-29 13:46:47.316019
103,VS8420,Virgin Atlantic,BLR,IXE,2026-05-29 21:10:00,,2026-05-29 22:10:00,,scheduled,2026-05-29 13:46:47.316019
104,QF8894,Qantas,BLR,IXE,2026-05-29 21:10:00,,2026-05-29 22:10:00,,scheduled,2026-05-29 13:46:47.316019
105,VS8413,Virgin Atlantic,BLR,IDR,2026-05-29 20:50:00,,2026-05-29 22:45:00,,scheduled,2026-05-29 13:46:47.316019
106,QF8909,Qantas,BLR,IDR,2026-05-29 20:50:00,,2026-05-29 22:45:00,,scheduled,2026-05-29 13:46:47.316019
107,VS8252,Virgin Atlantic,BLR,BBI,2026-05-29 20:45:00,,2026-05-29 22:50:00,,scheduled,2026-05-29 13:46:47.316019
108,VS8383,Virgin Atlantic,BLR,DEL,2026-05-29 20:40:00,,2026-05-29 23:30:00,,scheduled,2026-05-29 13:46:47.316019
109,TK7816,Turkish Airlines,BLR,DEL,2026-05-29 20:40:00,,2026-05-29 23:30:00,,scheduled,2026-05-29 13:46:47.316019
110,QF5047,Qantas,BLR,DEL,2026-05-29 20:40:00,,2026-05-29 23:30:00,,scheduled,2026-05-29 13:46:47.316019
111,JL5285,Japan Airlines,BLR,DEL,2026-05-29 20:40:00,,2026-05-29 23:30:00,,scheduled,2026-05-29 13:46:47.316019
112,AF3768,Air France,BLR,DEL,2026-05-29 20:40:00,,2026-05-29 23:30:00,,scheduled,2026-05-29 13:46:47.316019
113,VS8452,Virgin Atlantic,BLR,PNQ,2026-05-29 20:40:00,,2026-05-29 22:05:00,,scheduled,2026-05-29 13:46:47.316019
114,QF5251,Qantas,BLR,PNQ,2026-05-29 20:40:00,,2026-05-29 22:05:00,,scheduled,2026-05-29 13:46:47.316019
115,JL9085,Japan Airlines,BLR,PNQ,2026-05-29 20:40:00,,2026-05-29 22:05:00,,scheduled,2026-05-29 13:46:47.316019
116,AI9776,Air India,BLR,AMD,2026-05-29 20:35:00,,2026-05-29 22:45:00,,scheduled,2026-05-29 13:46:47.316019
117,VS8416,Virgin Atlantic,BLR,IXC,2026-05-29 20:30:00,,2026-05-29 23:40:00,,scheduled,2026-05-29 13:46:47.316019
118,QF8882,Qantas,BLR,IXC,2026-05-29 20:30:00,,2026-05-29 23:40:00,,scheduled,2026-05-29 13:46:47.316019
119,JL9047,Japan Airlines,BLR,IXC,2026-05-29 20:30:00,,2026-05-29 23:40:00,,scheduled,2026-05-29 13:46:47.316019
120,VS8323,Virgin Atlantic,BLR,AMD,2026-05-29 20:00:00,,2026-05-29 22:10:00,,active,2026-05-29 13:46:47.316019
121,QF8397,Qantas,BLR,AMD,2026-05-29 20:00:00,,2026-05-29 22:10:00,,active,2026-05-29 13:46:47.316019
122,JL9739,Japan Airlines,BLR,AMD,2026-05-29 20:00:00,,2026-05-29 22:10:00,,active,2026-05-29 13:46:47.316019
123,AI9566,Air India,BLR,HYD,2026-05-29 19:05:00,,2026-05-29 20:15:00,,scheduled,2026-05-29 13:46:47.316019
124,MH5582,Malaysia Airlines,BLR,GOI,2026-05-29 17:40:00,2026-05-29 17:45:00,2026-05-29 18:55:00,2026-05-29 18:40:00,landed,2026-05-29 13:46:47.316019
125,MH5264,Malaysia Airlines,BLR,TRZ,2026-05-29 19:25:00,,2026-05-29 20:40:00,,scheduled,2026-05-29 13:46:47.316019
126,JL5282,Japan Airlines,BLR,TRZ,2026-05-29 19:25:00,,2026-05-29 20:40:00,,active,2026-05-29 13:46:47.316019
127,AI9872,Air India,BLR,TRV,2026-05-29 19:55:00,,2026-05-29 21:20:00,,active,2026-05-29 13:46:47.316019
128,VS8212,Virgin Atlantic,BLR,MAA,2026-05-29 20:20:00,,2026-05-29 21:25:00,,scheduled,2026-05-29 13:46:47.316019
129,QF5235,Qantas,BLR,MAA,2026-05-29 20:20:00,,2026-05-29 21:25:00,,scheduled,2026-05-29 13:46:47.316019
130,JL5299,Japan Airlines,BLR,MAA,2026-05-29 20:20:00,,2026-05-29 21:25:00,,scheduled,2026-05-29 13:46:47.316019
131,BA8296,British Airways,BLR,MAA,2026-05-29 20:20:00,,2026-05-29 21:25:00,,scheduled,2026-05-29 13:46:47.316019
132,AI9482,Air India,BLR,MAA,2026-05-29 19:40:00,,2026-05-29 20:50:00,,scheduled,2026-05-29 13:46:47.316019
133,VS8434,Virgin Atlantic,BLR,LKO,2026-05-29 19:15:00,,2026-05-29 21:35:00,,scheduled,2026-05-29 13:46:47.316019
134,QF8869,Qantas,BLR,LKO,2026-05-29 19:15:00,,2026-05-29 21:35:00,,scheduled,2026-05-29 13:46:47.316019
135,JL9055,Japan Airlines,BLR,LKO,2026-05-29 19:15:00,,2026-05-29 21:35:00,,scheduled,2026-05-29 13:46:47.316019
136,AI9547,Air India,BLR,LKO,2026-05-29 18:15:00,2026-05-29 18:40:00,2026-05-29 20:55:00,,active,2026-05-29 13:46:47.316019
137,VS8429,Virgin Atlantic,BLR,JAI,2026-05-29 18:20:00,2026-05-29 18:38:00,2026-05-29 20:50:00,,active,2026-05-29 13:46:47.316019
138,QF8884,Qantas,BLR,JAI,2026-05-29 18:20:00,2026-05-29 18:38:00,2026-05-29 20:50:00,,active,2026-05-29 13:46:47.316019
139,AI9663,Air India,BLR,IXE,2026-05-29 19:50:00,,2026-05-29 21:00:00,,active,2026-05-29 13:46:47.316019
140,VS8405,Virgin Atlantic,BLR,HYD,2026-05-29 19:45:00,,2026-05-29 21:00:00,,scheduled,2026-05-29 13:46:47.316019
141,QF5095,Qantas,BLR,HYD,2026-05-29 19:45:00,,2026-05-29 21:00:00,,scheduled,2026-05-29 13:46:47.316019
142,JL9035,Japan Airlines,BLR,HYD,2026-05-29 19:45:00,,2026-05-29 21:00:00,,scheduled,2026-05-29 13:46:47.316019
143,VS8378,Virgin Atlantic,BLR,DEL,2026-05-29 18:15:00,,2026-05-29 21:05:00,,scheduled,2026-05-29 13:46:47.316019
144,QF4210,Qantas,BLR,DEL,2026-05-29 18:15:00,,2026-05-29 21:05:00,,scheduled,2026-05-29 13:46:47.316019
145,JL9214,Japan Airlines,BLR,DEL,2026-05-29 18:15:00,,2026-05-29 21:05:00,,scheduled,2026-05-29 13:46:47.316019
146,VS8362,Virgin Atlantic,BLR,CJB,2026-05-29 19:55:00,,2026-05-29 20:55:00,,scheduled,2026-05-29 13:46:47.316019
147,QF8444,Qantas,BLR,CJB,2026-05-29 19:55:00,,2026-05-29 20:55:00,,scheduled,2026-05-29 13:46:47.316019
148,JL5195,Japan Airlines,BLR,CJB,2026-05-29 19:55:00,,2026-05-29 20:55:00,,scheduled,2026-05-29 13:46:47.316019
149,VS9359,Virgin Atlantic,BLR,COK,2026-05-29 20:25:00,,2026-05-29 21:30:00,,scheduled,2026-05-29 13:46:47.316019
150,QF8358,Qantas,BLR,COK,2026-05-29 20:25:00,,2026-05-29 21:30:00,,scheduled,2026-05-29 13:46:47.316019
151,JL9003,Japan Airlines,BLR,COK,2026-05-29 20:25:00,,2026-05-29 21:30:00,,scheduled,2026-05-29 13:46:47.316019
152,AI9453,Air India,BLR,COK,2026-05-29 20:25:00,,2026-05-29 21:30:00,,scheduled,2026-05-29 13:46:47.316019
153,AI9441,Air India,BLR,CCU,2026-05-29 18:55:00,,2026-05-29 21:30:00,,scheduled,2026-05-29 13:46:47.316019
154,VS8356,Virgin Atlantic,BLR,CCU,2026-05-29 18:30:00,,2026-05-29 21:10:00,,scheduled,2026-05-29 13:46:47.316019
155,QF5113,Qantas,BLR,CCU,2026-05-29 18:30:00,,2026-05-29 21:10:00,,scheduled,2026-05-29 13:46:47.316019
156,JL9791,Japan Airlines,BLR,CCU,2026-05-29 18:30:00,,2026-05-29 21:10:00,,scheduled,2026-05-29 13:46:47.316019
157,SQ4964,Singapore Airlines,BLR,BOM,2026-05-29 19:00:00,,2026-05-29 21:05:00,,scheduled,2026-05-29 13:46:47.316019
158,LX9869,Swiss,BLR,BOM,2026-05-29 19:00:00,,2026-05-29 21:05:00,,scheduled,2026-05-29 13:46:47.316019
159,VS8214,Virgin Atlantic,BLR,BOM,2026-05-29 19:05:00,,2026-05-29 20:45:00,,scheduled,2026-05-29 13:46:47.316019
160,TK7822,Turkish Airlines,BLR,BOM,2026-05-29 19:05:00,,2026-05-29 20:45:00,,scheduled,2026-05-29 13:46:47.316019
161,QF5063,Qantas,BLR,BOM,2026-05-29 19:05:00,,2026-05-29 20:45:00,,scheduled,2026-05-29 13:46:47.316019
162,JL9773,Japan Airlines,BLR,BOM,2026-05-29 19:05:00,,2026-05-29 20:45:00,,scheduled,2026-05-29 13:46:47.316019
163,6E6628,IndiGo,BLR,TRV,2026-05-29 21:35:00,,2026-05-29 22:55:00,,scheduled,2026-05-29 13:46:47.316019
164,AI2642,Air India,BLR,BOM,2026-05-29 21:30:00,,2026-05-29 23:35:00,,scheduled,2026-05-29 13:46:47.316019
165,QP1906,Akasa Air,BLR,AMD,2026-05-29 21:25:00,,2026-05-29 23:50:00,,scheduled,2026-05-29 13:46:47.316019
166,UL172,SriLankan Airlines,BLR,CMB,2026-05-29 21:20:00,,2026-05-29 22:45:00,,scheduled,2026-05-29 13:46:47.316019
167,6E6784,IndiGo,BLR,HYD,2026-05-29 21:15:00,,2026-05-29 22:30:00,,scheduled,2026-05-29 13:46:47.316019
168,6E1005,IndiGo,BLR,SIN,2026-05-29 21:15:00,,2026-05-30 04:40:00,,scheduled,2026-05-29 13:46:47.316019
169,IX5501,Air India Express,BLR,IXE,2026-05-29 21:15:00,,2026-05-29 22:20:00,,scheduled,2026-05-29 13:46:47.316019
170,6E578,IndiGo,BLR,IXE,2026-05-29 21:10:00,,2026-05-29 22:10:00,,scheduled,2026-05-29 13:46:47.316019
171,EK567,Emirates,BLR,DXB,2026-05-29 21:00:00,,2026-05-29 23:20:00,,scheduled,2026-05-29 13:46:47.316019
172,6E6743,IndiGo,BLR,IDR,2026-05-29 20:50:00,,2026-05-29 22:45:00,,scheduled,2026-05-29 13:46:47.316019
173,6E6086,IndiGo,BLR,BBI,2026-05-29 20:45:00,,2026-05-29 22:50:00,,scheduled,2026-05-29 13:46:47.316019
174,6E817,IndiGo,BLR,DEL,2026-05-29 20:40:00,,2026-05-29 23:30:00,,scheduled,2026-05-29 13:46:47.316019
175,6E441,IndiGo,BLR,PNQ,2026-05-29 20:40:00,,2026-05-29 22:05:00,,scheduled,2026-05-29 13:46:47.316019
176,VS8327,Virgin Atlantic,BLR,BBI,2026-05-29 18:55:00,,2026-05-29 21:00:00,,active,2026-05-29 13:46:47.316019
177,VS8399,Virgin Atlantic,BLR,HYD,2026-05-29 18:35:00,2026-05-29 18:53:00,2026-05-29 19:45:00,,active,2026-05-29 13:46:47.316019
178,QF5093,Qantas,BLR,HYD,2026-05-29 18:35:00,2026-05-29 18:53:00,2026-05-29 19:45:00,,active,2026-05-29 13:46:47.316019
179,JL9033,Japan Airlines,BLR,HYD,2026-05-29 18:35:00,2026-05-29 18:53:00,2026-05-29 19:45:00,,active,2026-05-29 13:46:47.316019
180,MH5263,Malaysia Airlines,BLR,GOI,2026-05-29 15:15:00,2026-05-29 15:55:00,2026-05-29 16:35:00,2026-05-29 16:44:00,landed,2026-05-29 13:46:47.316019
181,VS8411,Virgin Atlantic,BLR,IDR,2026-05-29 17:55:00,2026-05-29 18:36:00,2026-05-29 19:50:00,,scheduled,2026-05-29 13:46:47.316019
182,QF8907,Qantas,BLR,IDR,2026-05-29 17:55:00,2026-05-29 18:36:00,2026-05-29 19:50:00,,scheduled,2026-05-29 13:46:47.316019
183,QF8945,Qantas,BLR,CMB,2026-05-29 18:45:00,,2026-05-29 20:15:00,,scheduled,2026-05-29 13:46:47.316019
184,JL9063,Japan Airlines,BLR,CJB,2026-05-29 18:40:00,,2026-05-29 19:45:00,,scheduled,2026-05-29 13:46:47.316019
185,BA8839,British Airways,BLR,CCJ,2026-05-29 18:35:00,,2026-05-29 19:40:00,,scheduled,2026-05-29 13:46:47.316019
186,VS8351,Virgin Atlantic,BLR,CCU,2026-05-29 17:05:00,2026-05-29 17:12:00,2026-05-29 19:55:00,,active,2026-05-29 13:46:47.316019
187,QF5100,Qantas,BLR,CCU,2026-05-29 17:05:00,2026-05-29 17:12:00,2026-05-29 19:55:00,,active,2026-05-29 13:46:47.316019
188,JL9789,Japan Airlines,BLR,CCU,2026-05-29 17:05:00,2026-05-29 17:12:00,2026-05-29 19:55:00,,active,2026-05-29 13:46:47.316019
189,SQ4874,Singapore Airlines,BLR,BOM,2026-05-29 18:05:00,2026-05-29 18:08:00,2026-05-29 20:05:00,,active,2026-05-29 13:46:47.316019
190,IX2015,Air India Express,BLR,AMD,2026-05-29 20:35:00,,2026-05-29 22:45:00,,scheduled,2026-05-29 13:46:47.316019
191,6E6385,IndiGo,BLR,IXC,2026-05-29 20:30:00,,2026-05-29 23:40:00,,scheduled,2026-05-29 13:46:47.316019
192,AI2850,Air India,BLR,BOM,2026-05-29 20:30:00,,2026-05-29 22:40:00,,scheduled,2026-05-29 13:46:47.316019
193,6E435,IndiGo,BLR,COK,2026-05-29 20:25:00,,2026-05-29 21:30:00,,scheduled,2026-05-29 13:46:47.316019
